Component,Dominant_topic_cluster(s),Perc_contribution,Topic_keywords
MobileEye-4,event-based,0.9998599886894226,event-action-listener-list-component-object-text-item-change-color
MultiAPIDemo-1,message-based / object-based,0.9998648464679718,message-list-write-value-connection-factory-field-result-local-request-object-type-value-attribute-key-stream-context-code-element-clazz
MultiAPIDemo-2,event-based,0.7829282283782959,event-action-listener-list-component-object-text-item-change-color
MultiAPIDemo-3,event-based,0.8394564390182495,event-action-listener-list-component-object-text-item-change-color
MusicQuiz-1,event-based / object-based,0.9996970891952515,event-action-listener-list-component-object-text-item-change-colo-object-type-value-attribute-key-stream-context-code-element-clazz
MusicQuiz-2,event-based,0.9998619556427002,event-action-listener-list-component-object-text-item-change-color
MusicQuiz-3,event-based,0.9998424649238586,event-action-listener-list-component-object-text-item-change-color
MusicQuiz-4,event-based,0.9999465942382812,event-action-listener-list-component-object-text-item-change-color
NetConnect-1,object-based / message-based,0.9999828934669495,object-type-value-attribute-key-stream-context-code-element-clazz-message-list-write-value-connection-factory-field-result-local-request
NetConnect-2,event-based / object-based,0.9995655715465546,event-action-listener-list-component-object-text-item-change-colo-object-type-value-attribute-key-stream-context-code-element-clazz
OS.Build-Reader-1,event-based,0.9996429681777954,event-action-listener-list-component-object-text-item-change-color
OpenLBS-Android-1,event-based / object-based,0.9790220856666565,event-action-listener-list-component-object-text-item-change-colo-object-type-value-attribute-key-stream-context-code-element-clazz
OpenLBS-Android-2,event-based,0.971871018409729,event-action-listener-list-component-object-text-item-change-color
OpenLBS-Android-3,event-based / object-based,0.9360052943229675,event-action-listener-list-component-object-text-item-change-colo-object-type-value-attribute-key-stream-context-code-element-clazz
OpenLBS-Android-4,message-based,0.9998506903648376,message-list-write-value-connection-factory-field-result-local-request
Openbravo-1,message-based / event-based,0.9999996423721313,message-list-write-value-connection-factory-field-result-local-request-event-action-listener-list-component-object-text-item-change-colo
Openbravo-10,message-based / object-based,0.9997491538524628,message-list-write-value-connection-factory-field-result-local-request-object-type-value-attribute-key-stream-context-code-element-clazz
Openbravo-11,object-based,0.9996486306190491,object-type-value-attribute-key-stream-context-code-element-clazz
Openbravo-12,message-based / event-based,0.9996541440486908,message-list-write-value-connection-factory-field-result-local-request-event-action-listener-list-component-object-text-item-change-colo
Openbravo-13,event-based,0.9997184872627258,event-action-listener-list-component-object-text-item-change-color
